Results for well: PROD_Seg.out in the reservoir: PROD_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	X[0]	X[1]	X[2]	X[3]	X[4]	
Seg 23	579.112	99.67	1.02515	0.857579	0.167573	3.55637e-010	0.836365	0.163635	3.47279e-010		0.966946	0.0272717	0.00198121	0.00380121	0	0.155336	0.175042	0.223203	0.446419	0	
Seg 24	493.109	99.67	-27.9181	0.144283	-0.248608	0	0.565863	0.434137	5.6224e-014		0.964224	0.0298158	0.00203471	0.00392498	0	0.133422	0.178676	0.229295	0.458607	0	
Seg 25	493.69	99.67	4.02075	3.45223	0.568519	1.88849e-013	0.858534	0.141466	4.69962e-014		0.964402	0.0296334	0.00203633	0.00392795	0	0.133557	0.177702	0.229577	0.459164	0	
Seg 26	494.235	99.67	3.89467	3.34345	0.551227	3.47167e-013	0.858421	0.141579	8.91486e-014		0.964423	0.0296144	0.00203581	0.00392681	0	0.133697	0.177681	0.229538	0.459084	0	
Seg 27	494.747	99.67	3.77014	3.23611	0.534033	6.47482e-013	0.858305	0.141695	1.71795e-013		0.964443	0.0295963	0.00203532	0.00392576	0	0.133829	0.177659	0.229501	0.459011	0	
Seg 28	495.226	99.67	3.64714	3.13019	0.516945	1.22502e-012	0.858211	0.141789	3.3602e-013		0.964461	0.029579	0.00203488	0.00392478	0	0.133952	0.177636	0.229468	0.458944	0	
Seg 29	495.673	99.67	3.52564	3.02571	0.499922	2.35201e-012	0.858153	0.141847	6.67366e-013		0.964479	0.0295625	0.00203447	0.00392388	0	0.134068	0.177612	0.229437	0.458883	0	
Seg 30	496.092	99.67	3.40562	2.92274	0.482877	4.58117e-012	0.85816	0.14184	1.34568e-012		0.964496	0.0295471	0.00203409	0.00392305	0	0.134175	0.17759	0.229409	0.458826	0	
Seg 31	496.481	99.67	3.28705	2.82142	0.465633	9.04932e-012	0.858289	0.141711	2.75408e-012		0.964511	0.0295326	0.00203375	0.00392228	0	0.134276	0.177568	0.229382	0.458774	0	
Seg 32	496.842	99.67	3.16991	2.72207	0.447837	1.81163e-011	0.858667	0.141333	5.71734e-012		0.964526	0.0295193	0.00203342	0.00392157	0	0.134369	0.177549	0.229358	0.458725	0	
